word,count,str_sandhi_rachana
कार्यकर्त्यांसमोर,1,क + ा + र् + य् + अ + क् + अ + र् + त् + य + ा + ं + स् + अ + म + ो + र् + अ
कार्यकारिणीची,1,क + ा + र् + य् + अ + क + ा + र + ि + ण + ी + च + ी
कार्यकारिणीच्या,1,क + ा + र् + य् + अ + क + ा + र + ि + ण + ी + च् + य + ा
कार्यकारिणीत,1,क + ा + र् + य् + अ + क + ा + र + ि + ण + ी + त् + अ
कार्यकारी,3,क + ा + र् + य् + अ + क + ा + र + ी
कार्यकाळ,3,क + ा + र् + य् + अ + क + ा + ळ् + अ
कार्यकाळात,1,क + ा + र् + य् + अ + क + ा + ळ + ा + त् + अ
कार्यक्रम,9,क + ा + र् + य् + अ + क् + र् + अ + म् + अ
कार्यक्रमांची,1,क + ा + र् + य् + अ + क् + र् + अ + म + ा + ं + च + ी
कार्यक्रमाचे,4,क + ा + र् + य् + अ + क् + र् + अ + म + ा + च + े
कार्यक्रमात,9,क + ा + र् + य् + अ + क् + र् + अ + म + ा + त् + अ
कार्यक्रमानंतर,1,क + ा + र् + य् + अ + क् + र् + अ + म + ा + न + ं + त् + अ + र् + अ
कार्यक्रमाला,1,क + ा + र् + य् + अ + क् + र् + अ + म + ा + ल + ा
कार्यक्रमावर,3,क + ा + र् + य् + अ + क् + र् + अ + म + ा + व् + अ + र् + अ
कार्यक्रमाशी,1,क + ा + र् + य् + अ + क् + र् + अ + म + ा + श + ी
कार्यबळाची,1,क + ा + र् + य् + अ + ब् + अ + ळ + ा + च + ी
कार्यभार,2,क + ा + र् + य् + अ + भ + ा + र् + अ
कार्यवाहीबाबत,1,क + ा + र् + य् + अ + व + ा + ह + ी + ब + ा + ब् + अ + त् + अ
कार्यवाहीसाठी,1,क + ा + र् + य् + अ + व + ा + ह + ी + स + ा + ठ + ी
कार्यवृत्त,1,क + ा + र् + य् + अ + व + ृ + त् + त् + अ
कार्याध्यक्ष,1,क + ा + र् + य + ा + ध् + य् + अ + क् + ष् + अ
कार्याल,1,क + ा + र् + य + ा + ल् + अ
कार्यालय,1,क + ा + र् + य + ा + ल् + अ + य् + अ
कार्यालयाचे,1,क + ा + र् + य + ा + ल् + अ + य + ा + च + े
कार्यालयाच्या,2,क + ा + र् + य + ा + ल् + अ + य + ा + च् + य + ा
कार्यालयात,1,क + ा + र् + य + ा + ल् + अ + य + ा + त् + अ
कार्यालयातून,2,क + ा + र् + य + ा + ल् + अ + य + ा + त + ू + न् + अ
कार्यालयावर,1,क + ा + र् + य + ा + ल् + अ + य + ा + व् + अ + र् + अ
कार्रा,1,क + ा + र् + र + ा
कार्लोस,1,क + ा + र् + ल + ो + स् + अ
काल,4,क + ा + ल् + अ
कालावधी,1,क + ा + ल + ा + व् + अ + ध + ी
कालावधीत,4,क + ा + ल + ा + व् + अ + ध + ी + त् + अ
कालिपलटन,1,क + ा + ल + ि + प् + अ + ल् + अ + ट् + अ + न् + अ
काले,1,क + ा + ल + े
काल्पनिक,1,क + ा + ल् + प् + अ + न + ि + क् + अ
काळ,2,क + ा + ळ् + अ
काळजी,2,क + ा + ळ् + अ + ज + ी
काळजीपूर्वक,1,क + ा + ळ् + अ + ज + ी + प + ू + र् + व् + अ + क् + अ
काळा,11,क + ा + ळ + ा
काळात,6,क + ा + ळ + ा + त् + अ
काळासाठी,1,क + ा + ळ + ा + स + ा + ठ + ी
काळी,1,क + ा + ळ + ी
काळ्या,8,क + ा + ळ् + य + ा
काश्मिरातील,1,क + ा + श् + म + ि + र + ा + त + ी + ल् + अ
काश्मिरी,5,क + ा + श् + म + ि + र + ी
काश्मीर,3,क + ा + श् + म + ी + र् + अ
काश्मीरचा,1,क + ा + श् + म + ी + र् + अ + च + ा
काश्मीरच्या,3,क + ा + श् + म + ी + र् + अ + च् + य + ा
काश्मीरबाहेरील,3,क + ा + श् + म + ी + र् + अ + ब + ा + ह + े + र + ी + ल् + अ
काश्मीरमध्ये,2,क + ा + श् + म + ी + र् + अ + म् + अ + ध् + य + े
काश्मीरही,1,क + ा + श् + म + ी + र् + अ + ह + ी
काही,77,क + ा + ह + ी
काहींची,1,क + ा + ह + ी + ं + च + ी
काहींनी,5,क + ा + ह + ी + ं + न + ी
काहीच,6,क + ा + ह + ी + च् + अ
काहीजणांची,1,क + ा + ह + ी + ज् + अ + ण + ा + ं + च + ी
काहीतरी,1,क + ा + ह + ी + त् + अ + र + ी
काहीवेळापूर्वीच,1,क + ा + ह + ी + व + े + ळ + ा + प + ू + र् + व + ी + च् + अ
काहीवेळासाठी,2,क + ा + ह + ी + व + े + ळ + ा + स + ा + ठ + ी
काहीशी,1,क + ा + ह + ी + श + ी
काहीही,11,क + ा + ह + ी + ह + ी
किंग,1,क + ि + ं + ग् + अ
किंबहुना,3,क + ि + ं + ब् + अ + ह + ु + न + ा
किंमत,5,क + ि + ं + म् + अ + त् + अ
किंमतीचे,1,क + ि + ं + म् + अ + त + ी + च + े
किंवा,18,क + ि + ं + व + ा
किडवाई,1,क + ि + ड् + अ + व + ा + ई
किती,5,क + ि + त + ी
कितीही,1,क + ि + त + ी + ह + ी
कित्येक,2,क + ि + त् + य + े + क् + अ
किमतीची,1,क + ि + म् + अ + त + ी + च + ी
किमान,3,क + ि + म + ा + न् + अ
किरण,1,क + ि + र् + अ + ण् + अ
किरणोत्सारी,3,क + ि + र् + अ + ण + ो + त् + स + ा + र + ी
किलिंग,1,क + ि + ल + ि + ं + ग् + अ
किलोमीटर,1,क + ि + ल + ो + म + ी + ट् + अ + र् + अ
की,68,क + ी
कुंजवाल,3,क + ु + ं + ज् + अ + व + ा + ल् + अ
कुचराई,1,क + ु + च् + अ + र + ा + ई
कुटुंब,2,क + ु + ट + ु + ं + ब् + अ
कुटुंबांचे,1,क + ु + ट + ु + ं + ब + ा + ं + च + े
कुटुंबांपर्यंत,1,क + ु + ट + ु + ं + ब + ा + ं + प् + अ + र् + य + ं + त् + अ
कुटुंबाला,2,क + ु + ट + ु + ं + ब + ा + ल + ा
कुटुंबियांचे,1,क + ु + ट + ु + ं + ब + ि + य + ा + ं + च + े
कुटुंबीयांची,2,क + ु + ट + ु + ं + ब + ी + य + ा + ं + च + ी
कुटुंबीयांनी,1,क + ु + ट + ु + ं + ब + ी + य + ा + ं + न + ी
कुठलाही,5,क + ु + ठ् + अ + ल + ा + ह + ी
कुठली,1,क + ु + ठ् + अ + ल + ी
कुठलीही,3,क + ु + ठ् + अ + ल + ी + ह + ी
कुठले,2,क + ु + ठ् + अ + ल + े
कुठलेही,2,क + ु + ठ् + अ + ल + े + ह + ी
कुठल्या,2,क + ु + ठ् + अ + ल् + य + ा
कुठल्याही,5,क + ु + ठ् + अ + ल् + य + ा + ह + ी
कुणा,1,क + ु + ण + ा
कुणाचाही,1,क + ु + ण + ा + च + ा + ह + ी
कुणाला,1,क + ु + ण + ा + ल + ा
कुणालाही,1,क + ु + ण + ा + ल + ा + ह + ी
कुणाहीजवळ,1,क + ु + ण + ा + ह + ी + ज् + अ + व् + अ + ळ् + अ
कुणी,4,क + ु + ण + ी
कुणीच,1,क + ु + ण + ी + च् + अ
कुणीतरी,2,क + ु + ण + ी + त् + अ + र + ी
कुत्रा,1,क + ु + त् + र + ा
कुत्र्याने,1,क + ु + त् + र् + य + ा + न + े
कुमार,37,क + ु + म + ा + र् + अ
कुमारने,1,क + ु + म + ा + र् + अ + न + े
कुमारला,2,क + ु + म + ा + र् + अ + ल + ा
कुमारांची,4,क + ु + म + ा + र + ा + ं + च + ी
कुमारांचे,1,क + ु + म + ा + र + ा + ं + च + े
कुमारांच्या,1,क + ु + म + ा + र + ा + ं + च् + य + ा
कुमारांनी,1,क + ु + म + ा + र + ा + ं + न + ी
कुमारांवर,1,क + ु + म + ा + र + ा + ं + व् + अ + र् + अ
कुरियन,1,क + ु + र + ि + य् + अ + न् + अ
कुरील,1,क + ु + र + ी + ल् + अ
कुरूप,1,क + ु + र + ू + प् + अ
कुर्ला,1,क + ु + र् + ल + ा
कुलगुरू,1,क + ु + ल् + अ + ग + ु + र + ू
कुलदीप,2,क + ु + ल् + अ + द + ी + प् + अ
कुलभूषण,2,क + ु + ल् + अ + भ + ू + ष् + अ + ण् + अ
कृती,2,क + ृ + त + ी
कृतीद्वारे,1,क + ृ + त + ी + द् + व + ा + र + े
कृतीमुळे,1,क + ृ + त + ी + म + ु + ळ + े
कृतीमुळेच,1,क + ृ + त + ी + म + ु + ळ + े + च् + अ
कृषी,2,क + ृ + ष + ी
कृष्णकुंजवरून,1,क + ृ + ष् + ण् + अ + क + ु + ं + ज् + अ + व् + अ + र + ू + न् + अ
कृष्णगिरी,1,क + ृ + ष् + ण् + अ + ग + ि + र + ी
कृष्णा,1,क + ृ + ष् + ण + ा
कॅबिनेट,4,क + ॅ + ब + ि + न + े + ट् + अ
कॅमेरॉन,1,क + ॅ + म + े + र + ॉ + न् + अ
कॅमे्यांची,1,क + ॅ + म + े् + य + ा + ं + च + ी
कॅम्पस,2,क + ॅ + म् + प् + अ + स् + अ
कॅम्पसमधील,2,क + ॅ + म् + प् + अ + स् + अ + म् + अ + ध + ी + ल् + अ
कॅम्पसमध्ये,3,क + ॅ + म् + प् + अ + स् + अ + म् + अ + ध् + य + े
कॅरल,1,क + ॅ + र् + अ + ल् + अ
के,3,क + े
कें,1,क + े + ं
केंद्र,52,क + े + ं + द् + र् + अ
केंद्राकडून,4,क + े + ं + द् + र + ा + क् + अ + ड + ू + न् + अ
केंद्राचा,5,क + े + ं + द् + र + ा + च + ा
केंद्राची,2,क + े + ं + द् + र + ा + च + ी
केंद्राचे,3,क + े + ं + द् + र + ा + च + े
केंद्राच्या,1,क + े + ं + द् + र + ा + च् + य + ा
केंद्रात,6,क + े + ं + द् + र + ा + त् + अ
केंद्रातील,4,क + े + ं + द् + र + ा + त + ी + ल् + अ
केंद्राने,7,क + े + ं + द् + र + ा + न + े
केंद्राला,4,क + े + ं + द् + र + ा + ल + ा
केंद्रावर,2,क + े + ं + द् + र + ा + व् + अ + र् + अ
केंद्रास,2,क + े + ं + द् + र + ा + स् + अ
केंद्रित,1,क + े + ं + द् + र + ि + त् + अ
केंद्रीय,33,क + े + ं + द् + र + ी + य् + अ
केंब्रिज,2,क + े + ं + ब् + र + ि + ज् + अ
केए,3,क + े + ए
केएमजोसेफ,1,क + े + ए + म् + अ + ज + ो + स + े + फ् + अ
केक,3,क + े + क् + अ
केकचं,1,क + े + क् + अ + च + ं
केकच्या,1,क + े + क् + अ + च् + य + ा
केजरीवलांच्या,1,क + े + ज् + अ + र + ी + व् + अ + ल + ा + ं + च् + य + ा
केजरीवांच्या,1,क + े + ज् + अ + र + ी + व + ा + ं + च् + य + ा
केजरीवाल,43,क + े + ज् + अ + र + ी + व + ा + ल् + अ
केजरीवालना,1,क + े + ज् + अ + र + ी + व + ा + ल् + अ + न + ा
केजरीवाललालूंची,1,क + े + ज् + अ + र + ी + व + ा + ल् + अ + ल + ा + ल + ू + ं + च + ी
केजरीवालांचे,1,क + े + ज् + अ + र + ी + व + ा + ल + ा + ं + च + े
केजरीवालांच्या,1,क + े + ज् + अ + र + ी + व + ा + ल + ा + ं + च् + य + ा
केजरीवालांना,1,क + े + ज् + अ + र + ी + व + ा + ल + ा + ं + न + ा
केजरीवालांनी,1,क + े + ज् + अ + र + ी + व + ा + ल + ा + ं + न + ी
केजरीवालांवर,1,क + े + ज् + अ + र + ी + व + ा + ल + ा + ं + व् + अ + र् + अ
केजरीवालांविरोधात,2,क + े + ज् + अ + र + ी + व + ा + ल + ा + ं + व + ि + र + ो + ध + ा + त् + अ
केट,3,क + े + ट् + अ
केबिश्त,1,क + े + ब + ि + श् + त् + अ
केरळ,7,क + े + र् + अ + ळ् + अ
केरळचे,2,क + े + र् + अ + ळ् + अ + च + े
केरळच्या,2,क + े + र् + अ + ळ् + अ + च् + य + ा
केरळमधील,1,क + े + र् + अ + ळ् + अ + म् + अ + ध + ी + ल् + अ
केरळात,1,क + े + र् + अ + ळ + ा + त् + अ
केरी,1,क + े + र + ी
केल,228,क + े + ल् + अ
केलं,6,क + े + ल + ं
केला,88,क + े + ल + ा
केलाअरुणाचल,1,क + े + ल + ा + अ + र + ु + ण + ा + च् + अ + ल् + अ
केलाकाँग्रेसशासित,1,क + े + ल + ा + क + ा + ँ + ग् + र + े + स् + अ + श + ा + स + ि + त् + अ
केलागेल्या,1,क + े + ल + ा + ग + े + ल् + य + ा
केलाड,1,क + े + ल + ा + ड् + अ
केलाममता,1,क + े + ल + ा + म् + अ + म् + अ + त + ा
केली,111,क + े + ल + ी
केलीभारतपाकिस्तान,1,क + े + ल + ी + भ + ा + र् + अ + त् + अ + प + ा + क + ि + स् + त + ा + न् + अ
केले,83,क + े + ल + े
केलेच,1,क + े + ल + े + च् + अ
केलेभारतमाता,1,क + े + ल + े + भ + ा + र् + अ + त् + अ + म + ा + त + ा
केलेलं,1,क + े + ल + े + ल + ं
केलेला,8,क + े + ल + े + ल + ा
केलेली,10,क + े + ल + े + ल + ी
केलेले,10,क + े + ल + े + ल + े
केलेल्या,48,क + े + ल + े + ल् + य + ा
केलेल्यांच्या,1,क + े + ल + े + ल् + य + ा + ं + च् + य + ा
केलेव्हाईट,1,क + े + ल + े + व् + ह + ा + ई + ट् + अ
केलेसत्ताधारी,1,क + े + ल + े + स् + अ + त् + त + ा + ध + ा + र + ी
केल्य,1,क + े + ल् + य् + अ
केल्या,6,क + े + ल् + य + ा
केल्याचा,15,क + े + ल् + य + ा + च + ा
केल्याचाही,1,क + े + ल् + य + ा + च + ा + ह + ी
केल्याची,6,क + े + ल् + य + ा + च + ी
केल्याचीही,1,क + े + ल् + य + ा + च + ी + ह + ी
केल्याचे,13,क + े + ल् + य + ा + च + े
केल्याच्या,7,क + े + ल् + य + ा + च् + य + ा
केल्यानंत,1,क + े + ल् + य + ा + न + ं + त् + अ
केल्यानंतर,10,क + े + ल् + य + ा + न + ं + त् + अ + र् + अ
केल्याने,3,क + े + ल् + य + ा + न + े
केल्याप्रकरणी,3,क + े + ल् + य + ा + प् + र् + अ + क् + अ + र् + अ + ण + ी
केल्याबद्दल,5,क + े + ल् + य + ा + ब् + अ + द् + द् + अ + ल् + अ
केल्यामुळे,1,क + े + ल् + य + ा + म + ु + ळ + े
केल्याशिवाय,1,क + े + ल् + य + ा + श + ि + व + ा + य् + अ
केल्यास,3,क + े + ल् + य + ा + स् + अ
केवढे,1,क + े + व् + अ + ढ + े
केवळ,38,क + े + व् + अ + ळ् + अ
केव्हाही,1,क + े + व् + ह + ा + ह + ी
केशव,2,क + े + श् + अ + व् + अ
केशवप्रसाद,1,क + े + श् + अ + व् + अ + प् + र् + अ + स + ा + द् + अ
केस,1,क + े + स् + अ
कैरोला,1,क + ै + र + ो + ल + ा
कैवारी,1,क + ै + व + ा + र + ी
कॉंग्रे,2,क + ॉ + ं + ग् + र + े
कॉंग्रेसचे,2,क + ॉ + ं + ग् + र + े + स् + अ + च + े
कॉंग्रेसच्या,3,क + ॉ + ं + ग् + र + े + स् + अ + च् + य + ा
कॉंग्रेसला,1,क + ॉ + ं + ग् + र + े + स् + अ + ल + ा
कॉनरड,1,क + ॉ + न् + अ + र् + अ + ड् + अ
कॉन्फरन्स,1,क + ॉ + न् + फ् + अ + र् + अ + न् + स् + अ
कॉन्फरन्सचे,2,क + ॉ + न् + फ् + अ + र् + अ + न् + स् + अ + च + े
कॉन्स्टिटूशन,1,क + ॉ + न् + स् + ट + ि + ट + ू + श् + अ + न् + अ
कॉर्पोरेश,1,क + ॉ + र् + प + ो + र + े + श् + अ
कॉर्पोरेशन,1,क + ॉ + र् + प + ो + र + े + श् + अ + न् + अ
को,1,क + ो
कोंडाळ्याचे,2,क + ो + ं + ड + ा + ळ् + य + ा + च + े
कोंडीत,1,क + ो + ं + ड + ी + त् + अ
कोकणातील,1,क + ो + क् + अ + ण + ा + त + ी + ल् + अ
कोटा,1,क + ो + ट + ा
कोटातून,1,क + ो + ट + ा + त + ू + न् + अ
कोटी,17,क + ो + ट + ी
कोटींचा,3,क + ो + ट + ी + ं + च + ा
कोटींच्या,5,क + ो + ट + ी + ं + च् + य + ा
कोटींपेक्षा,2,क + ो + ट + ी + ं + प + े + क् + ष + ा
कोटींहून,1,क + ो + ट + ी + ं + ह + ू + न् + अ
कोटेड,4,क + ो + ट + े + ड् + अ
कोट्यवधी,2,क + ो + ट् + य् + अ + व् + अ + ध + ी
कोट्यवधींची,1,क + ो + ट् + य् + अ + व् + अ + ध + ी + ं + च + ी
कोट्यवधींचे,1,क + ो + ट् + य् + अ + व् + अ + ध + ी + ं + च + े
कोठे,2,क + ो + ठ + े
कोठेही,3,क + ो + ठ + े + ह + ी
कोण,2,क + ो + ण् + अ
कोणतंही,1,क + ो + ण् + अ + त + ं + ह + ी
कोणताही,5,क + ो + ण् + अ + त + ा + ह + ी
कोणती,2,क + ो + ण् + अ + त + ी
कोणतीही,4,क + ो + ण् + अ + त + ी + ह + ी
कोणते,1,क + ो + ण् + अ + त + े
कोणतेही,7,क + ो + ण् + अ + त + े + ह + ी
कोणत्या,3,क + ो + ण् + अ + त् + य + ा
कोणत्यातरी,1,क + ो + ण् + अ + त् + य + ा + त् + अ + र + ी
कोणत्याही,6,क + ो + ण् + अ + त् + य + ा + ह + ी
कोणाकडे,1,क + ो + ण + ा + क् + अ + ड + े
कोणाचीही,1,क + ो + ण + ा + च + ी + ह + ी
कोणाच्याही,1,क + ो + ण + ा + च् + य + ा + ह + ी
कोणालाही,2,क + ो + ण + ा + ल + ा + ह + ी
कोणी,2,क + ो + ण + ी
कोणीही,4,क + ो + ण + ी + ह + ी
कोपरकर,1,क + ो + प् + अ + र् + अ + क् + अ + र् + अ
कोपरखळी,1,क + ो + प् + अ + र् + अ + ख् + अ + ळ + ी
कोरा,1,क + ो + र + ा
कोरियन,1,क + ो + र + ि + य् + अ + न् + अ
कोरिया,1,क + ो + र + ि + य + ा
कोरियाच्या,1,क + ो + र + ि + य + ा + च् + य + ा
कोरियामुळे,1,क + ो + र + ि + य + ा + म + ु + ळ + े
कोरे,4,क + ो + र + े
कोर्टाचे,1,क + ो + र् + ट + ा + च + े
कोर्टाने,1,क + ो + र् + ट + ा + न + े
कोलकाता,2,क + ो + ल् + अ + क + ा + त + ा
कोलकातामधील,1,क + ो + ल् + अ + क + ा + त + ा + म् + अ + ध + ी + ल् + अ
कोलम,4,क + ो + ल् + अ + म् + अ
कोषाध्यक्ष,1,क + ो + ष + ा + ध् + य् + अ + क् + ष् + अ
कोहली,1,क + ो + ह् + अ + ल + ी
कोहिनूर,8,क + ो + ह + ि + न + ू + र् + अ
कौटुंबिक,4,क + ौ + ट + ु + ं + ब + ि + क् + अ
कौतुक,4,क + ौ + त + ु + क् + अ
कौतुकच,1,क + ौ + त + ु + क् + अ + च् + अ
कौन्सिलचे,1,क + ौ + न् + स + ि + ल् + अ + च + े
कौल,4,क + ौ + ल् + अ
कौशल्ये,1,क + ौ + श् + अ + ल् + य + े
क्टोबर,1,क् + ट + ो + ब् + अ + र् + अ
क्टोबरमध्येच,1,क् + ट + ो + ब् + अ + र् + अ + म् + अ + ध् + य + े + च् + अ
क्युर,1,क् + य + ु + र् + अ
क्रमांक,4,क् + र् + अ + म + ा + ं + क् + अ
क्रमांकाचे,1,क् + र् + अ + म + ा + ं + क + ा + च + े
क्रिकेट,1,क् + र + ि + क + े + ट् + अ
क्रीडापटू,1,क् + र + ी + ड + ा + प् + अ + ट + ू
क्रेमलिनच्या,1,क् + र + े + म् + अ + ल + ि + न् + अ + च् + य + ा
क्लिन,2,क् + ल + ि + न् + अ
क्लिप्सचा,1,क् + ल + ि + प् + स् + अ + च + ा
क्लृप्त्या,1,क् + ल + ृ + प् + त् + य + ा
क्लृप्त्यांचा,1,क् + ल + ृ + प् + त् + य + ा + ं + च + ा
क्लेअर,1,क् + ल + े + अ + र् + अ
क्लेश,2,क् + ल + े + श् + अ
क्वीन,3,क् + व + ी + न् + अ
क्षणी,1,क् + ष् + अ + ण + ी
क्षमता,1,क् + ष् + अ + म् + अ + त + ा
क्षमतेचा,1,क् + ष् + अ + म् + अ + त + े + च + ा
क्षमतेचे,1,क् + ष् + अ + म् + अ + त + े + च + े
क्षी,1,क् + ष + ी
क्षेत्रफळ,1,क् + ष + े + त् + र् + अ + फ् + अ + ळ् + अ
क्षेत्राचा,1,क् + ष + े + त् + र + ा + च + ा
क्षेत्रात,5,क् + ष + े + त् + र + ा + त् + अ
क्षेत्रातील,2,क् + ष + े + त् + र + ा + त + ी + ल् + अ
क्षेत्राला,1,क् + ष + े + त् + र + ा + ल + ा
क्षेपणास्त्र,2,क् + ष + े + प् + अ + ण + ा + स् + त् + र् + अ
खंजीर,4,ख + ं + ज + ी + र् + अ
खंडन,3,ख + ं + ड् + अ + न् + अ
खंडपीठाने,4,ख + ं + ड् + अ + प + ी + ठ + ा + न + े
खंडपीठापुढे,1,ख + ं + ड् + अ + प + ी + ठ + ा + प + ु + ढ + े
खंबीरपणे,2,ख + ं + ब + ी + र् + अ + प् + अ + ण + े
खच,1,ख् + अ + च् + अ
खटला,5,ख् + अ + ट् + अ + ल + ा
खटल्याच्या,1,ख् + अ + ट् + अ + ल् + य + ा + च् + य + ा
खटल्यात,2,ख् + अ + ट् + अ + ल् + य + ा + त् + अ
खटल्यामध्ये,2,ख् + अ + ट् + अ + ल् + य + ा + म् + अ + ध् + य + े
खटल्याला,2,ख् + अ + ट् + अ + ल् + य + ा + ल + ा
खटल्यासंदर्भात,1,ख् + अ + ट् + अ + ल् + य + ा + स + ं + द् + अ + र् + भ + ा + त् + अ
खटल्यासाठी,1,ख् + अ + ट् + अ + ल् + य + ा + स + ा + ठ + ी
खडसावल,1,ख् + अ + ड् + अ + स + ा + व् + अ + ल् + अ
खडसावले,1,ख् + अ + ड् + अ + स + ा + व् + अ + ल + े
खतपाणी,3,ख् + अ + त् + अ + प + ा + ण + ी
खय्याम,2,ख् + अ + य् + य + ा + म् + अ
खरगपूर,1,ख् + अ + र् + अ + ग् + अ + प + ू + र् + अ
खरडपट्टी,1,ख् + अ + र् + अ + ड् + अ + प् + अ + ट् + ट + ी
खरी,1,ख् + अ + र + ी
खरीखुरी,1,ख् + अ + र + ी + ख + ु + र + ी
खरेतर,1,ख् + अ + र + े + त् + अ + र् + अ
खर्च,10,ख् + अ + र् + च् + अ
खर्चदेखील,1,ख् + अ + र् + च् + अ + द + े + ख + ी + ल् + अ
खर्चाचे,2,ख् + अ + र् + च + ा + च + े
खर्चातही,1,ख् + अ + र् + च + ा + त् + अ + ह + ी
खर्चाला,1,ख् + अ + र् + च + ा + ल + ा
खर्चासाठी,1,ख् + अ + र् + च + ा + स + ा + ठ + ी
खलिद,1,ख् + अ + ल + ि + द् + अ
खलिदा,4,ख् + अ + ल + ि + द + ा
खळबळ,3,ख् + अ + ळ् + अ + ब् + अ + ळ् + अ
खांदा,1,ख + ा + ं + द + ा
खांद्याला,1,ख + ा + ं + द् + य + ा + ल + ा
खांबही,1,ख + ा + ं + ब् + अ + ह + ी
खाईत,1,ख + ा + ई + त् + अ
खाणे,1,ख + ा + ण + े
खात,1,ख + ा + त् + अ
खातरजमा,1,ख + ा + त् + अ + र् + अ + ज् + अ + म + ा
खाती,7,ख + ा + त + ी
खाते,2,ख + ा + त + े
खातेदारांना,1,ख + ा + त + े + द + ा + र + ा + ं + न + ा
खातेही,1,ख + ा + त + े + ह + ी
खात्मा,1,ख + ा + त् + म + ा
खात्यांचा,1,ख + ा + त् + य + ा + ं + च + ा
खात्यांबाबतचा,1,ख + ा + त् + य + ा + ं + ब + ा + ब् + अ + त् + अ + च + ा
खात्याकडे,1,ख + ा + त् + य + ा + क् + अ + ड + े
खात्याची,2,ख + ा + त् + य + ा + च + ी
खात्याचे,3,ख + ा + त् + य + ा + च + े
खात्याच्या,2,ख + ा + त् + य + ा + च् + य + ा
खात्यात,2,ख + ा + त् + य + ा + त् + अ
खात्याने,3,ख + ा + त् + य + ा + न + े
खात्री,3,ख + ा + त् + र + ी
खादमिन,1,ख + ा + द् + अ + म + ि + न् + अ
खान,2,ख + ा + न् + अ
खाप,1,ख + ा + प् + अ
खामोश,1,ख + ा + म + ो + श् + अ
खालिद,2,ख + ा + ल + ि + द् + अ
खाली,3,ख + ा + ल + ी
खालीद,1,ख + ा + ल + ी + द् + अ
खाल्ले,1,ख + ा + ल् + ल + े
खासगी,4,ख + ा + स् + अ + ग + ी
खासगीरीत्या,1,ख + ा + स् + अ + ग + ी + र + ी + त् + य + ा
खासदा,1,ख + ा + स् + अ + द + ा
खासदार,13,ख + ा + स् + अ + द + ा + र् + अ
खासदारांकडून,3,ख + ा + स् + अ + द + ा + र + ा + ं + क् + अ + ड + ू + न् + अ
खासदारांचे,1,ख + ा + स् + अ + द + ा + र + ा + ं + च + े
खासदारांना,2,ख + ा + स् + अ + द + ा + र + ा + ं + न + ा
खिल्ली,1,ख + ि + ल् + ल + ी
खिळखिळे,1,ख + ि + ळ् + अ + ख + ि + ळ + े
खिशात,1,ख + ि + श + ा + त् + अ
खीळ,1,ख + ी + ळ् + अ
खुनाच्या,1,ख + ु + न + ा + च् + य + ा
खुनासह,1,ख + ु + न + ा + स् + अ + ह् + अ
खुपसण्यासारखे,1,ख + ु + प् + अ + स् + अ + ण् + य + ा + स + ा + र् + अ + ख + े
खुपसला,3,ख + ु + प् + अ + स् + अ + ल + ा
खुल्या,1,ख + ु + ल् + य + ा
खून,3,ख + ू + न् + अ
खूप,3,ख + ू + प् + अ
खेचण्याचे,1,ख + े + च् + अ + ण् + य + ा + च + े
खेचल,2,ख + े + च् + अ + ल् + अ
खेडांना,1,ख + े + ड + ा + ं + न + ा
खेडांमध्ये,5,ख + े + ड + ा + ं + म् + अ + ध् + य + े
खेडे,2,ख + े + ड + े
खेपेला,1,ख + े + प + े + ल + ा
खेळ,1,ख + े + ळ् + अ
खेळाडू,1,ख + े + ळ + ा + ड + ू
खोटा,2,ख + ो + ट + ा
खोटारडेपणाचा,2,ख + ो + ट + ा + र् + अ + ड + े + प् + अ + ण + ा + च + ा
खोटी,2,ख + ो + ट + ी
खोडसाळ,1,ख + ो + ड् + अ + स + ा + ळ् + अ
खोडा,1,ख + ो + ड + ा
खो्यातील,1,ख + ो् + य + ा + त + ी + ल् + अ
गंग,1,ग + ं + ग् + अ
गंभीर,10,ग + ं + भ + ी + र् + अ
गजबजून,4,ग् + अ + ज् + अ + ब् + अ + ज + ू + न् + अ
गट,11,ग् + अ + ट् + अ
गटांचे,1,ग् + अ + ट + ा + ं + च + े
गटांच्या,2,ग् + अ + ट + ा + ं + च् + य + ा
गटांत,1,ग् + अ + ट + ा + ं + त् + अ
गटांना,4,ग् + अ + ट + ा + ं + न + ा
गटांनी,3,ग् + अ + ट + ा + ं + न + ी
गटांमध्ये,1,ग् + अ + ट + ा + ं + म् + अ + ध् + य + े
गटांवर,1,ग् + अ + ट + ा + ं + व् + अ + र् + अ
गटांविरोधात,1,ग् + अ + ट + ा + ं + व + ि + र + ो + ध + ा + त् + अ
गटांशी,2,ग् + अ + ट + ा + ं + श + ी
गटाकडून,2,ग् + अ + ट + ा + क् + अ + ड + ू + न् + अ
गटाचा,1,ग् + अ + ट + ा + च + ा
गटाचे,1,ग् + अ + ट + ा + च + े
गटात,2,ग् + अ + ट + ा + त् + अ
गटाने,2,ग् + अ + ट + ा + न + े
गटामध्ये,3,ग् + अ + ट + ा + म् + अ + ध् + य + े
गटामार्फत,1,ग् + अ + ट + ा + म + ा + र् + फ् + अ + त् + अ
गटाला,2,ग् + अ + ट + ा + ल + ा
गडकरी,4,ग् + अ + ड् + अ + क् + अ + र + ी
गण,2,ग् + अ + ण् + अ
